protocol,date,market,tokenSymbol,supply_token,borrow_token,net_supply_token,non_recursive_supply_token,non_recursive_supplier_revenue_total_token,block_height,lending_index_rate
Nostra,2024-02-27,0x04718f5a0fc34cc1af16a1cdee98ffb20c31f5cd61d6ab07201858f4287c938d,STRK,19282821.242666118,-929028.8721609828,18353792.370505136,16518413.133454623,1835379.2370505137,234356,1.001
Nostra,2024-02-27,0x049d36570d4e46f48e99674bd3fcc84644ddd6b96f7c741b1562b82f9e004dc7,ETH,3108.802636123041,-1196.7250005724268,1912.077635550614,1720.8698719955528,191.20776355506143,234356,1.00034
Nostra,2024-02-27,0x053c91253bc9682c04929ca02ed00b3e423f6710d2ee7e0d5ebb06f3ecf368a8,USDC,1970869.779938,-1701285.622947,269584.156991,242625.7412919,26958.4156991,234356,1.0023
Nostra,2024-02-27,0x068f5c6a61780768455de69077e07e89787839bf8166decfbf92b645209c0fb8,USDT,584181.77277,-536410.716758,47771.056012,42993.950410800004,4777.1056012,234356,1.0045
